panel,gene,group,l2fc,padj,baseMean,color,is_tf
FXRLXR,Abcb4,FXR targets (biliary),-0.9489609952252284,8.107791295476152e-06,2343.9939531478067,#8E44AD,False
FXRLXR,Atp8b1,FXR targets (biliary),-0.586081214705604,0.0254154658041805,831.4486280568115,#8E44AD,False
FXRLXR,Slc10a1,FXR targets (biliary),-0.9662465892920272,7.257712158915817e-05,2203.13823225083,#8E44AD,False
FXRLXR,Slco1a1,FXR targets (biliary),-0.4378190308566135,0.2803348838392019,5057.921401673252,#8E44AD,False
FXRLXR,Abca1,LXR target → HDL,2.999093064514406,2.989120022231879e-109,17942.79832589712,#2980B9,False
FXRLXR,Abcg5,LXR targets → bile,0.0727321246863955,0.9164004489122712,232.6838855517567,#6C7A89,False
FXRLXR,Abcg8,LXR targets → bile,-1.0391119828977369,0.0095434364394679,211.25739773901216,#6C7A89,False
FXRLXR,Npc1,LXR targets → bile,-1.498190848424453,8.591601155848396e-08,733.7101975066156,#6C7A89,False
SREBP,Srebf1,SREBP (TF),-0.6144350366903343,0.2284721819037668,446.37016887800695,#2D3436,True
SREBP,Srebf2,SREBP (TF),0.2188673768732751,0.6063833786668014,693.7285331929191,#2D3436,True
SREBP,Fasn,SREBP-1c targets (lipogenic),2.1920247366472867,2.0491531295496896e-19,10274.668144770196,#E17055,False
SREBP,Acaca,SREBP-1c targets (lipogenic),1.1042067015063577,2.043333336472799e-05,1032.9276354892995,#E17055,False
SREBP,Acly,SREBP-1c targets (lipogenic),0.6657960662815497,0.0135216769814526,1310.6061839981426,#E17055,False
SREBP,Elovl6,SREBP-1c targets (lipogenic),1.414372311199229,2.936726296458966e-06,743.0742722896368,#E17055,False
SREBP,Scd1,SREBP-1c targets (lipogenic),1.0013864641340444,0.1184069054122589,104333.4691008986,#E17055,False
SREBP,Me1,SREBP-1c targets (lipogenic),0.1560529842106593,0.7923135885499599,1313.703165957055,#E17055,False
SREBP,Gpam,SREBP-1c targets (lipogenic),-1.2769717354968029,7.027920526802822e-06,1063.2160990540983,#E17055,False
SREBP,Acacb,SREBP-1c targets (lipogenic),-0.1303384696744907,0.8242093545746408,1771.0084330510658,#E17055,False
SREBP,Hmgcs1,SREBP-2 targets (cholesterol),-0.5062449147079483,0.1930978943802357,2619.815181309492,#6C7A89,False
SREBP,Hmgcr,SREBP-2 targets (cholesterol),0.4937201680019757,0.1991480289495286,970.3929512255798,#6C7A89,False
SREBP,Sqle,SREBP-2 targets (cholesterol),0.6804634918786667,0.0900279372808757,872.4555117309483,#6C7A89,False
SREBP,Mvd,SREBP-2 targets (cholesterol),-1.1943583597231178,0.0212023947200002,82.65839821362357,#6C7A89,False
SREBP,Fdps,SREBP-2 targets (cholesterol),0.3458921600996114,0.7694484009729592,46.08822985737297,#6C7A89,False
SREBP,Lss,SREBP-2 targets (cholesterol),0.3455825139214317,0.5012588738723384,321.14352712300354,#6C7A89,False
SREBP,Dhcr7,SREBP-2 targets (cholesterol),0.1636333839643747,0.79566242950942,521.2274178389911,#6C7A89,False
SREBP,Dhcr24,SREBP-2 targets (cholesterol),-1.3193336416299273,0.0127992967806184,4952.093569433022,#6C7A89,False
SREBP,Msmo1,SREBP-2 targets (cholesterol),-0.6471094349369267,0.0861287052074556,1287.7714838201478,#6C7A89,False
SREBP,Cyp51,SREBP-2 targets (cholesterol),-0.0052621438256153,0.9927414766525786,1571.8882895078011,#6C7A89,False
SREBP,Ldlr,SREBP-2 targets (cholesterol),-0.6452639398405495,0.055444084696135,1372.86978289716,#6C7A89,False
SREBP,Pcsk9,SREBP-2 targets (cholesterol),0.0463575730638888,0.950945969080054,649.9151678493824,#6C7A89,False
