gene,mean_B,mean_other,det_B,det_other,log2FC,det_diff
4930467D21Rik,0.0219,0.0008,0.0127,0.0005,4.7493,0.0122
Gk2,0.0,0.0,0.0,0.0,0.0,0.0
Gm34029,0.0005,0.0,0.0003,0.0,8.9556,0.0003
Gm54318,0.0005,0.0,0.0003,0.0,3.6267,0.0003
Gm34097,0.0009,0.0004,0.0005,0.0003,1.0247,0.0002
Antxr2,0.0187,0.4095,0.011,0.3024,-4.4519,-0.2914
LOC118568773,0.0043,0.1502,0.0029,0.1236,-5.1319,-0.1206
Gm34226,0.0003,0.0181,0.0002,0.0175,-5.9704,-0.0173
Gm42759,0.0005,0.0044,0.0002,0.004,-3.2671,-0.0038
n-TKctt8,0.0,0.0,0.0,0.0,0.0,0.0
Gm42121,0.0,0.0,0.0,0.0,0.0,0.0
Prdm8,0.0609,0.0032,0.0342,0.0018,4.2361,0.0324
A730035I17Rik,0.0023,0.0,0.0014,0.0,5.513,0.0014
Fgf5,0.0299,0.0004,0.0169,0.0002,6.106,0.0167
Cfap299,0.0232,0.0037,0.0132,0.0025,2.6506,0.0107
Mir703,0.0054,0.0228,0.0028,0.0138,-2.0815,-0.011
Gm34475,0.0013,0.0003,0.0006,0.0002,2.2363,0.0005
Gm24279,0.0,0.0,0.0,0.0,0.0,0.0
1700010H22Rik,0.0,0.0,0.0,0.0,0.0,0.0
Gm42122,0.0,0.0,0.0,0.0,0.0,0.0
Gm34563,0.0011,0.0,0.0006,0.0,5.2537,0.0006
Bmp3,0.0366,0.0003,0.0207,0.0002,7.0342,0.0205
Gm42123,0.0002,0.0,0.0001,0.0,1.8337,0.0001
Prkg2,0.0532,0.0023,0.03,0.0015,4.5538,0.0285
Gm3470,0.0006,1e-04,0.0004,0.0001,3.5215,0.0004
Rasgef1b,0.101,0.4083,0.0562,0.2836,-2.0149,-0.2274
Gm35394,0.0038,1e-04,0.0023,0.0001,4.8036,0.0022
A930011G23Rik,0.3767,0.0395,0.198,0.0272,3.2543,0.1708
Gm35314,0.0028,0.001,0.0016,0.0007,1.5389,0.001
Gm42125,0.0085,0.0005,0.0046,0.0004,4.05,0.0042
Gm35253,0.0162,0.0026,0.0091,0.002,2.6556,0.0071
Gm35172,0.0002,1e-04,0.0001,0.0,2.0658,0.0001
4930405H06Rik,0.0168,0.0005,0.0091,0.0003,5.1648,0.0087
Gm16226,0.0188,0.0005,0.0105,0.0004,5.2251,0.0101
Gm38413,0.0511,0.0002,0.028,0.0001,7.8943,0.0278
Gm42126,0.0,0.0,0.0,0.0,0.0,0.0
Vamp9,0.015,0.0033,0.0081,0.0021,2.2066,0.006
Hnrnpd,0.4799,0.5388,0.2523,0.3622,-0.167,-0.1099
Gm42127,0.0094,0.0424,0.0052,0.0393,-2.1761,-0.0341
4930524J08Rik,0.0235,0.009,0.0127,0.0074,1.3861,0.0053
Hnrnpdl,0.9689,1.1164,0.4837,0.6521,-0.2043,-0.1684
Enoph1,0.0665,0.0354,0.0362,0.0267,0.909,0.0095
Tmem150c,0.1321,0.0034,0.0717,0.0022,5.269,0.0695
Tmem150cos,0.0102,0.0002,0.0058,0.0001,5.6033,0.0057
Gm36167,0.0005,0.0,0.0003,0.0,3.8362,0.0003
2310034O05Rik,0.0008,0.0052,0.0005,0.0045,-2.7399,-0.004
Gm36304,0.0002,0.0002,0.0001,0.0003,-0.4902,-0.0001
Gm42129,0.0026,0.0,0.0013,0.0,6.6853,0.0013
Gm42128,0.0,0.0,0.0,0.0,0.0,0.0
Gm45913,0.0,0.0,0.0,0.0,0.0,0.0
Sec31a,0.184,0.9553,0.1013,0.5766,-2.376,-0.4753
5430416N02Rik,0.0747,0.0948,0.0405,0.0791,-0.3454,-0.0386
Lin54,0.0769,0.1288,0.0419,0.107,-0.7444,-0.0651
Cops4,0.2036,0.2146,0.1098,0.1643,-0.0755,-0.0546
Plac8,0.0027,0.0711,0.0015,0.0491,-4.708,-0.0476
Coq2,0.3601,0.1974,0.1927,0.1478,0.8673,0.0449
Hpse,0.0047,0.0426,0.0028,0.0274,-3.1784,-0.0246
Gm36619,0.0002,0.0002,0.0001,0.0001,0.1561,-0.0
Helq,0.1392,0.1116,0.0746,0.0918,0.3194,-0.0172
Mrps18c,0.1563,0.116,0.0853,0.0938,0.4297,-0.0085
Abraxas1,0.0755,0.2022,0.0407,0.1633,-1.4207,-0.1226
Gm26286,0.0,0.0,0.0,0.0,0.0,0.0
Gpat3,0.0318,0.1301,0.0169,0.1108,-2.0336,-0.0939
Gm46917,1e-04,0.0009,0.0001,0.0008,-2.6446,-0.0007
Gm36793,0.0,0.0,0.0,0.0,-3.782,-0.0
Gm36740,0.0002,0.0003,0.0001,0.0002,-0.623,-0.0001
Gm36851,0.0003,0.0009,0.0002,0.0006,-1.473,-0.0004
Gm3032,0.0,0.0,0.0,0.0,0.0,0.0
Gm42131,0.0,0.0,0.0,0.0,0.0,0.0
Gm29982,0.0,0.0,0.0,0.0,-3.1664,-0.0
Gm42132,0.0,0.0,0.0,0.0,0.0,0.0
Nkx6-1,1e-04,0.0,0.0001,0.0,1.9444,0.0001
9430085M18Rik,0.0231,0.0085,0.0131,0.0077,1.4433,0.0053
Gm42134,0.0028,0.0006,0.0017,0.0004,2.3511,0.0013
Cds1,0.2535,0.0094,0.1402,0.0068,4.7598,0.1334
Wdfy3,0.6431,0.8079,0.3298,0.5054,-0.3293,-0.1756
Gm42135,0.0017,0.0023,0.001,0.0019,-0.4106,-0.001
Gm42136,0.0,0.0,0.0,0.0,0.0,0.0
Gm46947,0.0,0.0,0.0,0.0,0.0,0.0
Arhgap24,0.2422,0.4374,0.1208,0.2816,-0.853,-0.1608
Gm30396,0.0025,0.004,0.0013,0.0032,-0.6707,-0.0019
Mapk10,1.2073,0.0077,0.5826,0.0043,7.2928,0.5782
4930429D17Rik,0.0,0.0007,0.0,0.0006,-9.5526,-0.0006
1700021F02Rik,0.0,0.0,0.0,0.0,0.0,0.0
Gm30443,0.0,0.0,0.0,0.0,0.0,0.0
Ptpn13,0.0494,0.0392,0.0259,0.0252,0.3327,0.0007
Slc10a6,0.0007,0.0547,0.0003,0.0429,-6.2286,-0.0425
1700016H13Rik,0.0,0.0,0.0,0.0,-3.221,-0.0
Gm42138,0.0,1e-04,0.0,0.0001,-7.1216,-0.0001
Gm25721,0.0,0.0,0.0,0.0,0.0,0.0
Aff1,0.1158,0.4108,0.0614,0.297,-1.8268,-0.2356
Klhl8,0.1171,0.049,0.0651,0.0382,1.2558,0.0269
Gm42139,0.0025,0.0018,0.0015,0.0013,0.4537,0.0002
Gm24897,0.0,0.0,0.0,0.0,0.0,0.0
Hsd17b13,0.0111,0.9311,0.006,0.5314,-6.3895,-0.5253
Hsd17b11,0.0925,0.2362,0.0486,0.1713,-1.3527,-0.1227
Nudt9,0.1596,0.0819,0.087,0.0623,0.9623,0.0247
Mir5619,0.0,0.0,0.0,0.0,0.0,0.0
Gm52783,0.0054,0.0055,0.0027,0.0039,-0.0103,-0.0012
Gm17660,0.0015,0.0013,0.0008,0.0008,0.21,-0.0001
Sparcl1,0.9988,0.0205,0.4806,0.0115,5.604,0.469
Gm26703,0.0161,0.0004,0.0085,0.0002,5.4973,0.0083
Dspp,0.0004,0.0,0.0002,0.0,8.5861,0.0002
Dmp1,0.0042,1e-04,0.0022,0.0,5.5179,0.0021
Gm31048,0.0,1e-04,0.0,0.0,-6.1677,-0.0
Ibsp,0.0006,0.0,0.0003,0.0,3.6877,0.0003
Gm54330,0.0,0.0,0.0,0.0,0.0,0.0
Mepe,0.0,0.0,0.0,0.0,-4.8549,-0.0
Spp1,0.0489,0.1077,0.0242,0.0625,-1.1391,-0.0383
Pkd2,0.1841,0.3348,0.0978,0.2366,-0.863,-0.1389
