,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cox7a1,3.9325708644204584,2.90299734417405,1.9249024909944839,1.5081269611086858,0.13152203606201585,0.295591010758219
B3galnt2,91.62980993513476,-0.6972172770845654,0.46245785548527657,-1.507634195883527,0.13164817570673065,0.29576734295865637
Npepps,232.46715982975962,0.3920870664587065,0.26005618821557175,1.5077013515774857,0.13163097945730123,0.29576734295865637
Dmwd,70.45421123567363,-0.5828206308715372,0.3867898554745188,-1.5068146762963195,0.13185816661417182,0.2961854816250979
Gm37376,8.50033764767966,1.8748433488779546,1.2447103223561613,1.5062487353113532,0.13200333285583485,0.29645788331091366
Zfp677,3.3546832413447127,-3.3834022526250176,2.2469291682872683,-1.505789457174581,0.13212123062528688,0.2966689569479293
Nat10,204.91043916963727,-0.426112519713372,0.2832387972100876,-1.5044285031238507,0.13247106977081055,0.2973468593408134
Snord17,1819.2473150846881,0.38214752566343246,0.25400905168930515,1.5044642036255533,0.13246188364782374,0.2973468593408134
4632404H12Rik,4.0007595603668715,-2.77002727836795,1.8418814251154454,-1.5039118374269562,0.1326040686571886,0.297483919667465
Nckap1,1264.7705527388425,-0.2682713421874428,0.1783788255864067,-1.5039416326770925,0.13259639602432205,0.297483919667465
Mcrs1,37.612747800452354,0.8621973339008782,0.5732379668145245,1.5040827436676898,0.13256006292817787,0.297483919667465
Tex12,7.69134474254126,-2.5896567948797355,1.7233874182340931,-1.5026550428999212,0.13292802148492494,0.29814328234153215
Drg2,199.04488313768903,0.3652770680798835,0.24312921027855272,1.5023989411284073,0.1329941096629082,0.29814328234153215
Cc2d1a,92.31415386070316,-0.6114788234246384,0.40699118774261916,-1.5024375019425165,0.13298415725051324,0.29814328234153215
Tec,286.66597956719414,-0.3596556651343076,0.2393845668985535,-1.5024179285823493,0.1329892089948363,0.29814328234153215
Ankrd9,11.3737240320927,-1.5807726225802756,1.0522826929777165,-1.5022318937005938,0.13303723068428203,0.2981860675463781
Luc7l,285.1832388673197,0.36634791157358737,0.24397880786345216,1.5015562818005965,0.13321174112020565,0.29834154925837975
Afdn,1680.0440583526342,0.3042255993522336,0.2025956207104082,1.5016395630145236,0.1331902200279779,0.29834154925837975
Pias3,19.536511997966745,-1.4220722259993643,0.9470993202273933,-1.5015027417166056,0.13322557808773466,0.29834154925837975
Usp30,107.79137973139565,-0.6317135532597252,0.4207222475731181,-1.5014978573243587,0.1332268404716608,0.29834154925837975
Fkbp4,620.5748083431465,-0.4003367407909261,0.2666042192579231,-1.5016144227020845,0.13319671637138333,0.29834154925837975
Naglu,131.73133492832858,0.6490795300553037,0.4324023053781157,1.501100993177439,0.13332944198642216,0.2985174259670733
Hmgn5,530.6428539511192,-0.385730919734431,0.2569978741090701,-1.500910935826366,0.13337859927218543,0.29857360205173805
Cacfd1,167.8569930393909,0.44540719747937724,0.29683183703082705,1.5005371456604237,0.1334753189541165,0.2986284593227717
Klhl20,53.46806050809121,-0.6828970265181441,0.45507980818440485,-1.5006093749635767,0.13345662510739748,0.2986284593227717
Plekha8,172.3930393504999,-0.4760760619124036,0.31727025341512316,-1.5005379697210237,0.1334751056655039,0.2986284593227717
Trip12,2302.8584877457033,-0.22034740713157439,0.14695155537939314,-1.4994561068965282,0.13375534747130566,0.29920101708060187
Eno1,1204.398787722228,0.320022068933626,0.21351270464223113,1.498843216237954,0.13391431029505949,0.2995026020408343
