gene,group,bin,n,mean,zc
Abcc2,Sham,1,3419,1.96829354763031,-0.5630905
Abcc2,Sham,2,3420,1.9571458101272583,-0.48928714
Abcc2,Sham,3,3419,1.960768461227417,-0.44062132
Abcc2,Sham,4,3419,1.9716030359268188,-0.39919755
Abcc2,Sham,5,3420,1.9307862520217896,-0.35999492
Abcc2,Sham,6,3419,1.933255910873413,-0.32021022
Abcc2,Sham,7,3420,1.9094080924987793,-0.27493734000000003
Abcc2,Sham,8,3419,1.8681217432022095,-0.21551788
Abcc2,Sham,9,3420,1.909026026725769,-0.11035838749999999
Abcc2,CLP,0,3295,1.8662761449813843,-0.7252295
Abcc2,CLP,1,3295,1.8657705783843994,-0.6332191
Abcc2,CLP,2,3295,1.8540650606155396,-0.56623507
Abcc2,CLP,3,3295,1.8617814779281616,-0.5058848
Abcc2,CLP,4,3295,1.8277448415756226,-0.4482787
Abcc2,CLP,5,3295,1.785461187362671,-0.38891482
Abcc2,CLP,6,3295,1.7128227949142456,-0.3239999
Abcc2,CLP,7,3295,1.5195592641830444,-0.2528145
Abcc2,CLP,8,3295,1.2921044826507568,-0.17021167
Abcc2,CLP,9,3295,1.4480807781219482,-0.053990714
Atp8b1,Sham,0,3420,0.5963329076766968,-0.7282628
Atp8b1,Sham,1,3419,0.3236377239227295,-0.5630905
Atp8b1,Sham,2,3420,0.27915632724761963,-0.48928714
Atp8b1,Sham,3,3419,0.26895514130592346,-0.44062132
Atp8b1,Sham,4,3419,0.2408902496099472,-0.39919755
Atp8b1,Sham,5,3420,0.25188344717025757,-0.35999492
Atp8b1,Sham,6,3419,0.25126704573631287,-0.32021022
Atp8b1,Sham,7,3420,0.25490760803222656,-0.27493734000000003
Atp8b1,Sham,8,3419,0.2534184753894806,-0.21551788
Atp8b1,Sham,9,3420,0.31996431946754456,-0.11035838749999999
Atp8b1,CLP,0,3295,1.372704267501831,-0.7252295
Atp8b1,CLP,1,3295,1.2695235013961792,-0.6332191
Atp8b1,CLP,2,3295,1.2064987421035767,-0.56623507
Atp8b1,CLP,3,3295,1.1482113599777222,-0.5058848
Atp8b1,CLP,4,3295,1.1075024604797363,-0.4482787
Atp8b1,CLP,5,3295,1.0719289779663086,-0.38891482
Atp8b1,CLP,6,3295,0.9893608093261719,-0.3239999
Atp8b1,CLP,7,3295,0.9052735567092896,-0.2528145
Atp8b1,CLP,8,3295,0.7750838994979858,-0.17021167
Atp8b1,CLP,9,3295,0.9056641459465027,-0.053990714
Cyp7a1,Sham,0,3420,0.47206005454063416,-0.7282628
Cyp7a1,Sham,1,3419,1.4384396076202393,-0.5630905
Cyp7a1,Sham,2,3420,1.5721197128295898,-0.48928714
Cyp7a1,Sham,3,3419,1.5814727544784546,-0.44062132
Cyp7a1,Sham,4,3419,1.630037784576416,-0.39919755
Cyp7a1,Sham,5,3420,1.592885971069336,-0.35999492
Cyp7a1,Sham,6,3419,1.5980111360549927,-0.32021022
